City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,Saint-Philippe,-21.3585,55.7679,74.79,77,14,7.45,RE,2022-11-08 03:04:56
112,Bethel,41.3712,-73.414,57.65,45,0,6.91,US,2022-11-08 03:03:56
113,Turukhansk,65.8167,87.9833,18.54,96,100,9.64,RU,2022-11-08 03:04:57
114,Rojhan,28.6868,69.9534,70.7,47,87,13.29,PK,2022-11-08 03:04:57
115,Leh,34.1667,77.5833,27.88,69,65,3.6,IN,2022-11-08 03:04:57
116,Port Hardy,50.6996,-127.4199,27.75,55,0,18.63,CA,2022-11-08 03:04:58
117,Oxford,51.7522,-1.256,56.48,89,75,19.57,GB,2022-11-08 03:01:53
118,Mar Del Plata,-38.0023,-57.5575,60.87,93,0,13.0,AR,2022-11-08 03:04:58
119,Whitehorse,60.7161,-135.0538,5.02,77,54,18.01,CA,2022-11-08 03:04:20
120,Tandil,-37.3217,-59.1332,57.69,87,0,10.67,AR,2022-11-08 03:04:02
121,Georgetown,5.4112,100.3354,86.9,74,20,3.44,MY,2022-11-08 03:01:15
122,Neon Monastirion,39.2333,22.25,55.67,82,0,2.17,GR,2022-11-08 03:04:58
123,Hermanus,-34.4187,19.2345,51.8,86,62,6.4,ZA,2022-11-08 03:04:58
124,Chicama,-7.8447,-79.1469,59.54,82,13,5.19,PE,2022-11-08 03:04:59
125,Noshiro,40.2039,140.0242,53.74,76,100,9.66,JP,2022-11-08 03:04:59
